DEBT,NETWORTH,HOUSES,NFIN,ASSET
0.0,5.0,0.0,0.0,5.0
0.0,10.0,0.0,0.0,10.0
18400.0,-17800.0,0.0,0.0,600.0
18400.0,-17800.0,0.0,0.0,600.0
18400.0,-17800.0,0.0,0.0,600.0
18400.0,-17800.0,0.0,0.0,600.0
18400.0,-17800.0,0.0,0.0,600.0
61000.0,442600.0,210000.0,497200.0,503600.0
61000.0,442600.0,210000.0,497200.0,503600.0
61000.0,442600.0,210000.0,497200.0,503600.0
61000.0,442600.0,210000.0,497200.0,503600.0
61100.0,442500.0,210000.0,497200.0,503600.0
23630.0,53270.0,30000.0,69500.0,76900.0
24620.0,59180.0,30000.0,76400.0,83800.0
24620.0,51280.0,30000.0,68500.0,75900.0
24630.0,48270.0,30000.0,65500.0,72900.0
24620.0,52180.0,30000.0,69400.0,76800.0
2260.0,238740.0,0.0,111000.0,241000.0
2170.0,207630.0,0.0,111000.0,209800.0
4000.0,215300.0,0.0,100000.0,219300.0
2000.0,231400.0,0.0,120000.0,233400.0
2350.0,237550.0,0.0,135000.0,239900.0
0.0,400.0,0.0,0.0,400.0
0.0,400.0,0.0,0.0,400.0
0.0,400.0,0.0,0.0,400.0
0.0,400.0,0.0,0.0,400.0
0.0,400.0,0.0,0.0,400.0
3000.0,1700.0,0.0,3700.0,4700.0
3000.0,700.0,0.0,2700.0,3700.0
3000.0,1600.0,0.0,3600.0,4600.0
3000.0,1200.0,0.0,3200.0,4200.0
3000.0,4200.0,0.0,6200.0,7200.0
3890.0,7310.0,0.0,3900.0,11200.0
3890.0,7310.0,0.0,3900.0,11200.0
3890.0,6810.0,0.0,3900.0,10700.0
3890.0,7910.0,0.0,3900.0,11800.0
3890.0,7910.0,0.0,3900.0,11800.0
210600.0,-3660.0,200000.0,206900.0,206940.0
210600.0,-3550.0,200000.0,207000.0,207050.0
210600.0,-3550.0,200000.0,207000.0,207050.0
210600.0,-3650.0,200000.0,206900.0,206950.0
210600.0,-3560.0,200000.0,207000.0,207040.0
200.0,16500.0,0.0,6600.0,16700.0
200.0,12500.0,0.0,2600.0,12700.0
200.0,12500.0,0.0,2600.0,12700.0
200.0,14600.0,0.0,4700.0,14800.0
200.0,16700.0,0.0,6800.0,16900.0
7650.0,4770.0,0.0,11900.0,12420.0
7650.0,4680.0,0.0,11800.0,12330.0
7550.0,4860.0,0.0,11900.0,12410.0
7550.0,4860.0,0.0,11900.0,12410.0
7650.0,4680.0,0.0,11800.0,12330.0
189600.0,5400.0,185000.0,194900.0,195000.0
189600.0,5400.0,185000.0,194900.0,195000.0
190600.0,4400.0,185000.0,194900.0,195000.0
189600.0,5400.0,185000.0,194900.0,195000.0
189600.0,5400.0,185000.0,194900.0,195000.0
13600.0,-6500.0,0.0,3600.0,7100.0
13600.0,-6500.0,0.0,3600.0,7100.0
13600.0,-6500.0,0.0,3600.0,7100.0
13600.0,-6500.0,0.0,3600.0,7100.0
13600.0,-6500.0,0.0,3600.0,7100.0
187660.0,219560.0,0.0,308000.0,407220.0
187700.0,219520.0,0.0,308000.0,407220.0
186440.0,220780.0,0.0,308000.0,407220.0
187100.0,220120.0,0.0,308000.0,407220.0
187100.0,221120.0,0.0,309000.0,408220.0
8000.0,31700.0,0.0,16700.0,39700.0
8000.0,31700.0,0.0,16700.0,39700.0
8000.0,31700.0,0.0,16700.0,39700.0
8000.0,31700.0,0.0,16700.0,39700.0
8000.0,31600.0,0.0,16600.0,39600.0
7000.0,-6850.0,0.0,0.0,150.0
7000.0,-6850.0,0.0,0.0,150.0
7000.0,-6850.0,0.0,0.0,150.0
7000.0,-6850.0,0.0,0.0,150.0
7000.0,-6850.0,0.0,0.0,150.0
162000.0,2330.0,152000.0,159000.0,164330.0
161000.0,3330.0,152000.0,159000.0,164330.0
161000.0,3330.0,152000.0,159000.0,164330.0
161000.0,3130.0,152000.0,158800.0,164130.0
162000.0,2230.0,152000.0,158900.0,164230.0
57000.0,32550.0,80000.0,80000.0,89550.0
57000.0,32550.0,80000.0,80000.0,89550.0
57000.0,32550.0,80000.0,80000.0,89550.0
57000.0,32550.0,80000.0,80000.0,89550.0
57000.0,32550.0,80000.0,80000.0,89550.0
60490.0,-34805.0,0.0,9700.0,25685.0
60390.0,-34690.0,0.0,9700.0,25700.0
60380.0,-34690.0,0.0,9700.0,25690.0
61390.0,-34590.0,0.0,9700.0,26800.0
61490.0,-35700.0,0.0,9700.0,25790.0
2400.0,15170.0,0.0,13500.0,17570.0
2400.0,9990.0,0.0,8300.0,12390.0
2300.0,14480.0,0.0,12700.0,16780.0
2300.0,13600.0,0.0,11800.0,15900.0
2400.0,10170.0,0.0,8500.0,12570.0
16000.0,-3360.0,0.0,12000.0,12640.0
15000.0,-2470.0,0.0,12000.0,12530.0
15000.0,-2480.0,0.0,12000.0,12520.0
15000.0,-2440.0,0.0,12000.0,12560.0
17000.0,-4420.0,0.0,12000.0,12580.0
61500.0,105420.0,150000.0,150000.0,166920.0
61500.0,105420.0,150000.0,150000.0,166920.0
61500.0,105420.0,150000.0,150000.0,166920.0
61500.0,105430.0,150000.0,150000.0,166930.0
61500.0,105430.0,150000.0,150000.0,166930.0
1480.0,1520.0,0.0,2900.0,3000.0
1580.0,2520.0,0.0,4000.0,4100.0
